close_yf,Date
18457.0,2023-06-02
18513.849609375,2023-06-05
18527.849609375,2023-06-06
18659.650390625,2023-06-07
18562.94921875,2023-06-08
18502.099609375,2023-06-09
18545.80078125,2023-06-12
18668.0,2023-06-13
18705.25,2023-06-14
18653.599609375,2023-06-15
18798.55078125,2023-06-16
18732.80078125,2023-06-19
18794.599609375,2023-06-20
18827.80078125,2023-06-21
18722.69921875,2023-06-22
18595.75,2023-06-23
18632.75,2023-06-26
18751.30078125,2023-06-27
18901.19921875,2023-06-28
19099.55078125,2023-06-30
19223.849609375,2023-07-03
19270.55078125,2023-07-04
19297.94921875,2023-07-05
19397.099609375,2023-07-06
19233.599609375,2023-07-07
19239.80078125,2023-07-10
19333.599609375,2023-07-11
19293.69921875,2023-07-12
19304.849609375,2023-07-13
19454.0,2023-07-14
19584.80078125,2023-07-17
19605.849609375,2023-07-18
19690.69921875,2023-07-19
19811.900390625,2023-07-20
19602.599609375,2023-07-21
19540.44921875,2023-07-24
19566.900390625,2023-07-25
19662.0,2023-07-26
19566.69921875,2023-07-27
19580.650390625,2023-07-28
19679.349609375,2023-07-31
19659.849609375,2023-08-01
19447.099609375,2023-08-02
19310.900390625,2023-08-03
19448.75,2023-08-04
19521.849609375,2023-08-07
19497.44921875,2023-08-08
19554.75,2023-08-09
19463.099609375,2023-08-10
19359.0,2023-08-11
19330.80078125,2023-08-14
19358.05078125,2023-08-16
19264.599609375,2023-08-17
19209.349609375,2023-08-18
19303.400390625,2023-08-21
19325.44921875,2023-08-22
19362.55078125,2023-08-23
19323.349609375,2023-08-24
19193.900390625,2023-08-25
19243.650390625,2023-08-28
19291.25,2023-08-29
19307.5,2023-08-30
19204.80078125,2023-08-31
19382.94921875,2023-09-01
19485.5,2023-09-04
19531.19921875,2023-09-05
19578.25,2023-09-06
19690.5,2023-09-07
19789.30078125,2023-09-08
19970.80078125,2023-09-11
19905.19921875,2023-09-12
19977.80078125,2023-09-13
20024.80078125,2023-09-14
20108.400390625,2023-09-15
20056.150390625,2023-09-18
19832.599609375,2023-09-20
19674.80078125,2023-09-21
19614.19921875,2023-09-22
19606.849609375,2023-09-25
19606.05078125,2023-09-26
19654.94921875,2023-09-27
19451.650390625,2023-09-28
19577.05078125,2023-09-29
19492.69921875,2023-10-03
19376.25,2023-10-04
19476.05078125,2023-10-05
19584.44921875,2023-10-06
19428.900390625,2023-10-09
19616.55078125,2023-10-10
19736.80078125,2023-10-11
19728.099609375,2023-10-12
19691.69921875,2023-10-13
19680.650390625,2023-10-16
19758.900390625,2023-10-17
19611.349609375,2023-10-18
19562.30078125,2023-10-19
19468.400390625,2023-10-20
19189.099609375,2023-10-23
19034.400390625,2023-10-25
18780.599609375,2023-10-26
18996.099609375,2023-10-27
19080.849609375,2023-10-30
19035.349609375,2023-10-31
18942.30078125,2023-11-01
19107.25,2023-11-02
19222.099609375,2023-11-03
19399.099609375,2023-11-06
19416.80078125,2023-11-07
19470.099609375,2023-11-08
19413.80078125,2023-11-09
19444.80078125,2023-11-10
19475.69921875,2023-11-13
19698.400390625,2023-11-15
19785.849609375,2023-11-16
19773.44921875,2023-11-17
19730.69921875,2023-11-20
19806.400390625,2023-11-21
19818.900390625,2023-11-22
19819.400390625,2023-11-23
19812.099609375,2023-11-24
19938.400390625,2023-11-28
20136.19921875,2023-11-29
20201.0,2023-11-30
20339.44921875,2023-12-01
20757.94921875,2023-12-04
20949.25,2023-12-05
21074.150390625,2023-12-06
21076.349609375,2023-12-07
21107.19921875,2023-12-08
21161.69921875,2023-12-11
21058.25,2023-12-12
21099.599609375,2023-12-13
21364.30078125,2023-12-14
21595.5,2023-12-15
21585.25,2023-12-18
21622.94921875,2023-12-19
21267.349609375,2023-12-20
21402.150390625,2023-12-21
21508.849609375,2023-12-22
21617.05078125,2023-12-26
21815.44921875,2023-12-27
21931.75,2023-12-28
21918.80078125,2023-12-29
21865.25,2024-01-02
21771.400390625,2024-01-03
21934.400390625,2024-01-04
21974.599609375,2024-01-05
21770.75,2024-01-08
21815.150390625,2024-01-09
21885.80078125,2024-01-10
21942.150390625,2024-01-11
22159.25,2024-01-12
22338.75,2024-01-15
22274.599609375,2024-01-16
21839.94921875,2024-01-17
