date,nav
26-02-2013,5672.35
25-02-2013,5761.35
22-02-2013,5762.35
21-02-2013,5760.90
20-02-2013,5855.30
19-02-2013,5853.85
18-02-2013,5810.95
15-02-2013,5798.10
14-02-2013,5804.05
13-02-2013,5846.50
12-02-2013,5844.05
11-02-2013,5821.00
08-02-2013,5826.25
07-02-2013,5861.90
06-02-2013,5885.80
05-02-2013,5880.05
04-02-2013,5909.65
01-02-2013,5923.45
31-01-2013,5950.95
30-01-2013,5961.45
29-01-2013,5957.75
28-01-2013,5985.40
25-01-2013,5984.00
24-01-2013,5923.70
23-01-2013,5968.40
22-01-2013,5967.50
21-01-2013,6005.10
18-01-2013,5988.00
17-01-2013,5970.65
16-01-2013,5938.40
15-01-2013,5996.85
14-01-2013,5966.90
11-01-2013,5892.70
10-01-2013,5918.85
09-01-2013,5922.85
08-01-2013,5949.90
07-01-2013,5939.25
04-01-2013,5961.25
03-01-2013,5956.55
02-01-2013,5938.20
01-01-2013,5896.90
31-12-2012,5847.50
28-12-2012,5845.70
27-12-2012,5806.85
26-12-2012,5839.75
24-12-2012,5793.20
21-12-2012,5785.30
20-12-2012,5854.80
19-12-2012,5864.80
18-12-2012,5830.95
17-12-2012,5786.20
14-12-2012,5799.55
13-12-2012,5769.50
12-12-2012,5808.15
11-12-2012,5816.45
10-12-2012,5829.15
07-12-2012,5824.45
06-12-2012,5848.65
05-12-2012,5816.30
04-12-2012,5805.25
03-12-2012,5785.65
30-11-2012,5786.15
29-11-2012,5734.55
27-11-2012,5644.35
26-11-2012,5554.25
23-11-2012,5534.80
22-11-2012,5532.20
21-11-2012,5515.70
20-11-2012,5475.65
19-11-2012,5479.30
16-11-2012,5489.95
15-11-2012,5546.70
13-11-2012,5575.55
12-11-2012,5589.20
09-11-2012,5577.95
08-11-2012,5627.80
07-11-2012,5644.95
06-11-2012,5605.25
05-11-2012,5586.10
02-11-2012,5581.80
01-11-2012,5531.60
31-10-2012,5503.20
30-10-2012,5476.15
29-10-2012,5539.25
26-10-2012,5543.15
25-10-2012,5587.85
23-10-2012,5576.40
22-10-2012,5601.30
19-10-2012,5572.60
18-10-2012,5606.25
17-10-2012,5549.90
16-10-2012,5538.70
15-10-2012,5578.95
12-10-2012,5573.10
11-10-2012,5599.80
10-10-2012,5543.70
09-10-2012,5596.60
08-10-2012,5567.70
05-10-2012,5633.30
04-10-2012,5671.65
03-10-2012,5617.90
01-10-2012,5602.00
28-09-2012,5583.75
27-09-2012,5527.15
26-09-2012,5532.20
25-09-2012,5540.60
24-09-2012,5532.65
21-09-2012,5545.50
20-09-2012,5417.70
18-09-2012,5456.80
17-09-2012,5454.35
14-09-2012,5415.80
13-09-2012,5290.45
12-09-2012,5290.70
11-09-2012,5256.05
10-09-2012,5233.35
08-09-2012,5226.05
07-09-2012,5208.40
06-09-2012,5114.85
05-09-2012,5100.75
04-09-2012,5145.65
03-09-2012,5121.05
31-08-2012,5126.30
30-08-2012,5173.75
29-08-2012,5149.45
28-08-2012,5191.25
27-08-2012,5210.55
24-08-2012,5248.85
23-08-2012,5274.90
22-08-2012,5275.55
21-08-2012,5286.20
17-08-2012,5238.70
16-08-2012,5237.20
14-08-2012,5253.75
13-08-2012,5224.35
10-08-2012,5191.85
09-08-2012,5196.00
08-08-2012,5211.25
07-08-2012,5214.45
